ts,load_mbps
2022-05-01 13:30:00,24158525.33333335
2022-05-01 13:45:00,24914142.00000001
2022-05-01 14:00:00,25979188.666666675
2022-05-01 14:15:00,26355302.999999974
2022-05-01 14:30:00,27167486.33333334
2022-05-01 14:45:00,27555566.33333333
2022-05-01 15:00:00,28518753.66666669
2022-05-01 15:15:00,28952973.666666664
2022-05-01 15:30:00,29932389.66666667
2022-05-01 15:45:00,30300049.999999985
2022-05-01 16:00:00,30073828.999999993
2022-05-01 16:15:00,30005777.66666667
2022-05-01 16:30:00,30699730.333333336
2022-05-01 16:45:00,31135134.333333317
2022-05-01 17:00:00,31415920.66666667
2022-05-01 17:15:00,31806800.999999996
2022-05-01 17:30:00,32131399.666666657
2022-05-01 17:45:00,32052734.333333336
2022-05-01 18:00:00,32312524.00000002
2022-05-01 18:15:00,32270504.666666675
2022-05-01 18:30:00,32445779.666666657
2022-05-01 18:45:00,33053735.00000002
2022-05-01 19:00:00,33405210.666666668
2022-05-01 19:15:00,33250706.66666667
2022-05-01 19:30:00,33707940.99999999
2022-05-01 19:45:00,33757974.99999999
2022-05-01 20:00:00,33830350.0
2022-05-01 20:15:00,34308108.66666665
2022-05-01 20:30:00,34504390.66666666
2022-05-01 20:45:00,34232451.66666666
2022-05-01 21:00:00,34592055.33333332
2022-05-01 21:15:00,34619610.333333366
2022-05-01 21:30:00,34210473.66666667
2022-05-01 21:45:00,34271088.99999999
2022-05-01 22:00:00,34625258.33333338
2022-05-01 22:15:00,34643661.33333332
2022-05-01 22:30:00,34815856.00000002
2022-05-01 22:45:00,35225551.66666668
2022-05-01 23:00:00,35856595.33333333
